날짜,품목,평균가격
2020-06-01,돼지고기,22553
2020-07-01,돼지고기,22857
2020-08-01,돼지고기,23400
2020-09-01,돼지고기,12011
2020-10-01,돼지고기,12283
2020-11-01,돼지고기,11972
2020-12-01,돼지고기,11947
2021-01-01,돼지고기,11436
2021-02-01,돼지고기,11424
2021-03-01,돼지고기,11362
2021-04-01,돼지고기,11906
2021-05-01,돼지고기,12544
2021-06-01,돼지고기,12774
2020-06-01,무(1kg),1717
2020-07-01,무(1kg),1930
2020-08-01,무(1kg),2255
2020-09-01,무(1kg),3322
2020-10-01,무(1kg),2955
2020-11-01,무(1kg),2234
2020-12-01,무(1kg),2013
2021-01-01,무(1kg),2223
2021-02-01,무(1kg),2070
2021-03-01,무(1kg),1857
2021-04-01,무(1kg),1672
2021-05-01,무(1kg),1646
2021-06-01,무(1kg),1664
2020-06-01,쇠고기(한우1등급),30500
2020-07-01,쇠고기(한우1등급),31433
2020-08-01,쇠고기(한우1등급),31270
2020-09-01,쇠고기(한우1등급),30354
2020-10-01,쇠고기(한우1등급),31375
2020-11-01,쇠고기(한우1등급),29913
2020-12-01,쇠고기(한우1등급),28597
2021-01-01,쇠고기(한우1등급),31388
2021-02-01,쇠고기(한우1등급),29528
2021-03-01,쇠고기(한우1등급),29251
2021-04-01,쇠고기(한우1등급),29634
2021-05-01,쇠고기(한우1등급),29430
2021-06-01,쇠고기(한우1등급),27785
2020-06-01,애호박,1220
2020-07-01,애호박,1353
2020-08-01,애호박,2677
2020-09-01,애호박,2509
2020-10-01,애호박,1505
2020-11-01,애호박,1302
2020-12-01,애호박,1531
2021-01-01,애호박,2348
2021-02-01,애호박,2558
2021-03-01,애호박,2081
2021-04-01,애호박,1538
2021-05-01,애호박,1275
2021-06-01,애호박,1546
2020-06-01,양파,3335
2020-07-01,양파,3069
2020-08-01,양파,3192
2020-09-01,양파,3607
2020-10-01,양파,3751
2020-11-01,양파,3776
2020-12-01,양파,3860
2021-01-01,양파,4451
2021-02-01,양파,5158
2021-03-01,양파,5448
2021-04-01,양파,4829
2021-05-01,양파,3677
2021-06-01,양파,3371
